år,branche,Co2_1000ton
1990,landbrug_skovbrug_fiskeri,16403
1990,industri,8269
1990,forsyningsvirksomhed,27685
1990,øvrige_virksomheder,10901
1991,landbrug_skovbrug_fiskeri,16379
1991,industri,8806
1991,forsyningsvirksomhed,36573
1991,øvrige_virksomheder,11487
1992,landbrug_skovbrug_fiskeri,16117
1992,industri,8903
1992,forsyningsvirksomhed,31285
1992,øvrige_virksomheder,11307
1993,landbrug_skovbrug_fiskeri,16057
1993,industri,8892
1993,forsyningsvirksomhed,32838
1993,øvrige_virksomheder,11562
1994,landbrug_skovbrug_fiskeri,15885
1994,industri,9056
1994,forsyningsvirksomhed,36993
1994,øvrige_virksomheder,11639
1995,landbrug_skovbrug_fiskeri,15965
1995,industri,9860
1995,forsyningsvirksomhed,33270
1995,øvrige_virksomheder,11414
1996,landbrug_skovbrug_fiskeri,15616
1996,industri,9929
1996,forsyningsvirksomhed,45745
1996,øvrige_virksomheder,12052
1997,landbrug_skovbrug_fiskeri,15502
1997,industri,9520
1997,forsyningsvirksomhed,36566
1997,øvrige_virksomheder,12765
1998,landbrug_skovbrug_fiskeri,15464
1998,industri,9315
1998,forsyningsvirksomhed,32973
1998,øvrige_virksomheder,12340
1999,landbrug_skovbrug_fiskeri,15100
1999,industri,9369
1999,forsyningsvirksomhed,29755
1999,øvrige_virksomheder,12923
2000,landbrug_skovbrug_fiskeri,15201
2000,industri,9188
2000,forsyningsvirksomhed,26518
2000,øvrige_virksomheder,12274
2001,landbrug_skovbrug_fiskeri,15251
2001,industri,9185
2001,forsyningsvirksomhed,27789
2001,øvrige_virksomheder,12520
2002,landbrug_skovbrug_fiskeri,15214
2002,industri,8703
2002,forsyningsvirksomhed,27859
2002,øvrige_virksomheder,12078
2003,landbrug_skovbrug_fiskeri,14982
2003,industri,8690
2003,forsyningsvirksomhed,32606
2003,øvrige_virksomheder,12738
2004,landbrug_skovbrug_fiskeri,14862
2004,industri,8605
2004,forsyningsvirksomhed,26438
2004,øvrige_virksomheder,12914
2005,landbrug_skovbrug_fiskeri,14674
2005,industri,7729
2005,forsyningsvirksomhed,23070
2005,øvrige_virksomheder,12719
2006,landbrug_skovbrug_fiskeri,14395
2006,industri,8017
2006,forsyningsvirksomhed,30810
2006,øvrige_virksomheder,12895
2007,landbrug_skovbrug_fiskeri,14490
2007,industri,7901
2007,forsyningsvirksomhed,25943
2007,øvrige_virksomheder,13158
2008,landbrug_skovbrug_fiskeri,14351
2008,industri,7027
2008,forsyningsvirksomhed,23877
2008,øvrige_virksomheder,12568
2009,landbrug_skovbrug_fiskeri,14144
2009,industri,5870
2009,forsyningsvirksomhed,23730
2009,øvrige_virksomheder,11392
2010,landbrug_skovbrug_fiskeri,14133
2010,industri,5948
2010,forsyningsvirksomhed,23757
2010,øvrige_virksomheder,11762
2011,landbrug_skovbrug_fiskeri,14100
2011,industri,6119
2011,forsyningsvirksomhed,20856
2011,øvrige_virksomheder,11020
2012,landbrug_skovbrug_fiskeri,13860
2012,industri,5930
2012,forsyningsvirksomhed,17315
2012,øvrige_virksomheder,10484
2013,landbrug_skovbrug_fiskeri,13838
2013,industri,5631
2013,forsyningsvirksomhed,20285
2013,øvrige_virksomheder,10410
2014,landbrug_skovbrug_fiskeri,13829
2014,industri,5609
2014,forsyningsvirksomhed,15738
2014,øvrige_virksomheder,10202
2015,landbrug_skovbrug_fiskeri,13726
2015,industri,5621
2015,forsyningsvirksomhed,12855
2015,øvrige_virksomheder,10566
2016,landbrug_skovbrug_fiskeri,13933
2016,industri,5770
2016,forsyningsvirksomhed,14339
2016,øvrige_virksomheder,10589
2017,landbrug_skovbrug_fiskeri,13900
2017,industri,6055
2017,forsyningsvirksomhed,12371
2017,øvrige_virksomheder,10767
2018,landbrug_skovbrug_fiskeri,13775
2018,industri,5854
2018,forsyningsvirksomhed,11535
2018,øvrige_virksomheder,11013
2019,landbrug_skovbrug_fiskeri,13651
2019,industri,5728
2019,forsyningsvirksomhed,8362
2019,øvrige_virksomheder,10529
2020,landbrug_skovbrug_fiskeri,13928
2020,industri,5620
2020,forsyningsvirksomhed,7470
2020,øvrige_virksomheder,8603
2021,landbrug_skovbrug_fiskeri,13796
2021,industri,5725
2021,forsyningsvirksomhed,8278
2021,øvrige_virksomheder,8983
2022,landbrug_skovbrug_fiskeri,13627
2022,industri,5891
2022,forsyningsvirksomhed,8078
2022,øvrige_virksomheder,9941