år,drivhusgas,millioner_ton_Co2-ækvivalenter
1990,kuldioxid_ekskl_afbrænding_af_biomasse,3.1
1990,lattergas,6.3
1990,metan,7
1991,kuldioxid_ekskl_afbrænding_af_biomasse,3.1
1991,lattergas,6.1
1991,metan,7.2
1992,kuldioxid_ekskl_afbrænding_af_biomasse,2.8
1992,lattergas,6
1992,metan,7.3
1993,kuldioxid_ekskl_afbrænding_af_biomasse,2.8
1993,lattergas,5.8
1993,metan,7.5
1994,kuldioxid_ekskl_afbrænding_af_biomasse,2.8
1994,lattergas,5.7
1994,metan,7.4
1995,kuldioxid_ekskl_afbrænding_af_biomasse,3
1995,lattergas,5.6
1995,metan,7.4
1996,kuldioxid_ekskl_afbrænding_af_biomasse,2.9
1996,lattergas,5.3
1996,metan,7.4
1997,kuldioxid_ekskl_afbrænding_af_biomasse,2.8
1997,lattergas,5.3
1997,metan,7.4
1998,kuldioxid_ekskl_afbrænding_af_biomasse,2.6
1998,lattergas,5.4
1998,metan,7.5
1999,kuldioxid_ekskl_afbrænding_af_biomasse,2.6
1999,lattergas,5.2
1999,metan,7.3
2000,kuldioxid_ekskl_afbrænding_af_biomasse,2.7
2000,lattergas,5.1
2000,metan,7.4
2001,kuldioxid_ekskl_afbrænding_af_biomasse,2.7
2001,lattergas,5
2001,metan,7.6
2002,kuldioxid_ekskl_afbrænding_af_biomasse,2.6
2002,lattergas,5
2002,metan,7.6
2003,kuldioxid_ekskl_afbrænding_af_biomasse,2.5
2003,lattergas,4.8
2003,metan,7.7
2004,kuldioxid_ekskl_afbrænding_af_biomasse,2.3
2004,lattergas,4.9
2004,metan,7.6
2005,kuldioxid_ekskl_afbrænding_af_biomasse,2.4
2005,lattergas,4.8
2005,metan,7.4
2006,kuldioxid_ekskl_afbrænding_af_biomasse,2.4
2006,lattergas,4.7
2006,metan,7.3
2007,kuldioxid_ekskl_afbrænding_af_biomasse,2.3
2007,lattergas,4.9
2007,metan,7.3
2008,kuldioxid_ekskl_afbrænding_af_biomasse,2.2
2008,lattergas,4.9
2008,metan,7.2
2009,kuldioxid_ekskl_afbrænding_af_biomasse,2.1
2009,lattergas,4.8
2009,metan,7.2
2010,kuldioxid_ekskl_afbrænding_af_biomasse,2.2
2010,lattergas,4.7
2010,metan,7.3
2011,kuldioxid_ekskl_afbrænding_af_biomasse,2.1
2011,lattergas,4.7
2011,metan,7.3
2012,kuldioxid_ekskl_afbrænding_af_biomasse,1.9
2012,lattergas,4.6
2012,metan,7.3
2013,kuldioxid_ekskl_afbrænding_af_biomasse,2
2013,lattergas,4.6
2013,metan,7.2
2014,kuldioxid_ekskl_afbrænding_af_biomasse,1.8
2014,lattergas,4.7
2014,metan,7.3
2015,kuldioxid_ekskl_afbrænding_af_biomasse,1.8
2015,lattergas,4.7
2015,metan,7.2
2016,kuldioxid_ekskl_afbrænding_af_biomasse,1.9
2016,lattergas,4.8
2016,metan,7.2
2017,kuldioxid_ekskl_afbrænding_af_biomasse,1.8
2017,lattergas,4.9
2017,metan,7.2
2018,kuldioxid_ekskl_afbrænding_af_biomasse,1.8
2018,lattergas,4.6
2018,metan,7.3
2019,kuldioxid_ekskl_afbrænding_af_biomasse,1.7
2019,lattergas,4.8
2019,metan,7.1
2020,kuldioxid_ekskl_afbrænding_af_biomasse,1.8
2020,lattergas,4.9
2020,metan,7.3
2021,kuldioxid_ekskl_afbrænding_af_biomasse,1.9
2021,lattergas,4.7
2021,metan,7.2
2022,kuldioxid_ekskl_afbrænding_af_biomasse,2.1
2022,lattergas,4.6
2022,metan,7