̴r,bedrifter_antal,samlet_dyrket_areal_ha,dansk_landareal_2023_ha
1984,95346,2854773,4295200
1986,89659,2818910,4295200
1988,84093,2786603,4295200
1989,81267,2774128,4295200
1990,79338,2788276,4295200
1991,77197,2769657,4295200
1992,74460,2756327,4295200
1993,73784,2738559,4295200
1994,69346,2691174,4295200
1995,68771,2726048,4295200
1996,64426,2716034,4295200
1997,63151,2688014,4295200
1998,59761,2671850,4295200
1999,57831,2644048,4295200
2000,54541,2646982,4295200
2001,53489,2675566,4295200
2002,50531,2665507,4295200
2003,48613,2657706,4295200
2004,45624,2645304,4295200
2005,51676,2724180,4295200
2006,47385,2710507,4295200
2007,44618,2677284,4295200
2008,43415,2684910,4295200
2009,41384,2623975,4295200
2010,42099,2646400,4295200
2011,40660,2639944,4295200
2012,39930,2644631,4295200
2013,38829,2627817,4295200
2014,37950,2652026,4295200
2015,36637,2632947,4295200
2016,35674,2625093,4295200
2017,34731,2631289,4295200
2018,34114,2632453,4295200
2019,33607,2625923,4295200
2020,33148,2619987,4295200
2021,31395,2618399,4295200
2022,30678,2624245,4295200